"","Factor","NMDS1","NMDS2","r2","Pr(>r)"
"1","sla",0.99969,0.02478,0.1201,0.001
"2","height",0.99394,-0.10991,0.1649,0.001
"3","seedmass",0.0374,0.9993,0.034,0.014
"4","resprouting",-0.84943,-0.5277,0.6108,0.001
